Date,A,B,C,D,E
09-05-2023,12,18,23,26,33
08-05-2023,3,7,12,24,31
07-05-2023,12,16,29,36,42
06-05-2023,1,26,35,37,40
05-05-2023,11,12,19,32,33
04-05-2023,5,9,16,20,31
03-05-2023,12,18,20,33,42
02-05-2023,15,17,21,25,36
01-05-2023,6,11,14,18,19
30-04-2023,10,30,38,40,42
29-04-2023,3,12,13,25,37
28-04-2023,12,14,17,18,21
27-04-2023,2,14,21,23,34
26-04-2023,11,23,24,34,36
25-04-2023,8,10,34,35,41
24-04-2023,9,22,27,29,41
23-04-2023,2,27,35,36,37
22-04-2023,4,30,38,39,41
21-04-2023,13,21,25,27,38
20-04-2023,7,15,18,38,40
19-04-2023,8,12,18,21,37
18-04-2023,2,4,16,37,42
17-04-2023,1,5,8,38,39
16-04-2023,3,5,15,26,40
15-04-2023,16,18,21,30,36
14-04-2023,2,12,18,21,42
13-04-2023,1,4,13,24,32
12-04-2023,12,28,32,33,41
11-04-2023,12,26,29,31,34
10-04-2023,15,19,31,35,36
09-04-2023,6,19,22,40,42
08-04-2023,5,14,15,26,33
07-04-2023,1,8,12,22,35
06-04-2023,12,16,32,35,38
05-04-2023,2,19,25,33,39
04-04-2023,4,26,30,34,41
03-04-2023,6,18,21,22,26
02-04-2023,7,28,29,32,41
01-04-2023,1,13,16,20,22
31-03-2023,4,20,22,24,25
30-03-2023,15,28,33,38,42
29-03-2023,10,11,19,21,41
28-03-2023,6,7,8,21,23
27-03-2023,9,14,26,36,37
26-03-2023,4,6,13,22,30
25-03-2023,5,20,25,35,36
24-03-2023,20,28,29,35,36
23-03-2023,2,13,32,40,41
22-03-2023,3,5,11,20,36
21-03-2023,17,20,21,27,38
20-03-2023,7,21,35,37,38
19-03-2023,4,5,10,19,35
18-03-2023,8,21,24,37,38
17-03-2023,5,14,20,28,38
16-03-2023,3,6,17,30,36
15-03-2023,18,23,24,34,39
14-03-2023,5,29,31,33,39
13-03-2023,13,25,34,38,40
12-03-2023,1,5,18,21,29
11-03-2023,8,14,19,23,39
10-03-2023,12,28,30,33,37
09-03-2023,2,5,10,23,36
08-03-2023,8,15,16,20,33
07-03-2023,5,7,15,31,32
06-03-2023,3,26,30,31,41
05-03-2023,8,11,15,16,21
04-03-2023,15,17,25,34,38
03-03-2023,11,21,26,31,35
02-03-2023,7,27,31,34,42
01-03-2023,5,8,25,38,41
28-02-2023,8,21,22,31,35
27-02-2023,7,14,15,26,29
26-02-2023,21,25,26,32,33
25-02-2023,3,6,14,15,27
24-02-2023,6,11,16,25,40
23-02-2023,7,19,24,27,40
22-02-2023,4,16,19,20,25
21-02-2023,7,26,32,36,40
20-02-2023,3,8,19,30,35
19-02-2023,1,14,16,17,18
18-02-2023,4,15,21,23,39
17-02-2023,4,13,27,40,41
16-02-2023,3,9,22,29,32
15-02-2023,9,10,20,22,38
14-02-2023,16,22,27,28,41
13-02-2023,7,13,23,34,40
12-02-2023,10,18,24,34,36
11-02-2023,7,23,33,39,40
10-02-2023,1,12,26,37,42
09-02-2023,6,8,16,21,42
08-02-2023,9,21,27,31,33
07-02-2023,1,5,10,22,26
06-02-2023,18,19,21,33,41
05-02-2023,3,5,17,19,21
04-02-2023,6,13,32,41,42
03-02-2023,10,20,23,37,42
02-02-2023,4,8,19,24,32
01-02-2023,7,13,15,38,41
31-01-2023,1,9,22,24,25
30-01-2023,18,25,28,33,39
29-01-2023,7,32,33,37,38
28-01-2023,12,16,23,25,33
27-01-2023,9,22,29,38,39
26-01-2023,12,16,26,37,39
25-01-2023,1,11,13,14,42
24-01-2023,7,9,14,15,39
23-01-2023,19,20,29,35,40
22-01-2023,15,17,19,33,38
21-01-2023,11,20,24,26,42
20-01-2023,4,14,20,31,38
19-01-2023,10,12,21,25,27
18-01-2023,5,8,17,26,40
17-01-2023,5,8,24,27,32
16-01-2023,17,18,26,28,31
15-01-2023,14,29,35,37,42
14-01-2023,4,9,16,31,41
13-01-2023,7,11,20,38,42
12-01-2023,16,18,22,25,29
11-01-2023,7,18,23,32,34
10-01-2023,4,10,11,13,28
09-01-2023,5,9,11,16,27
08-01-2023,3,11,24,33,34
07-01-2023,4,16,19,24,39
06-01-2023,5,15,24,25,34
05-01-2023,1,14,16,33,41
04-01-2023,5,11,24,25,27
03-01-2023,5,6,13,14,15
02-01-2023,4,6,14,17,21
01-01-2023,5,6,11,14,39
31-12-2022,2,9,10,15,36
30-12-2022,6,7,21,26,36
29-12-2022,5,9,12,13,31
28-12-2022,8,19,20,23,36
27-12-2022,1,15,18,29,32
26-12-2022,6,9,23,26,34
25-12-2022,12,13,17,24,35
24-12-2022,7,8,15,31,39
23-12-2022,6,14,28,35,39
22-12-2022,2,12,19,21,35
21-12-2022,3,5,18,23,24
20-12-2022,4,18,25,30,31
19-12-2022,11,23,24,35,39
18-12-2022,8,18,19,34,41
17-12-2022,2,7,8,19,34
16-12-2022,16,21,32,33,37
15-12-2022,7,11,22,23,32
14-12-2022,4,15,21,23,42
13-12-2022,5,8,10,11,28
12-12-2022,2,6,13,16,24
11-12-2022,4,16,25,26,36
10-12-2022,15,16,27,28,41
09-12-2022,3,7,28,29,31
08-12-2022,3,6,7,25,34
07-12-2022,6,10,29,35,42
06-12-2022,5,7,14,16,30
05-12-2022,8,19,25,31,40
04-12-2022,6,27,29,37,40
03-12-2022,4,7,11,29,41
02-12-2022,17,20,38,39,42
01-12-2022,19,22,34,39,42
30-11-2022,2,22,24,37,40
29-11-2022,2,10,11,12,16
28-11-2022,20,23,27,30,31
27-11-2022,1,4,6,12,32
26-11-2022,1,12,15,21,35
25-11-2022,10,21,37,39,41
24-11-2022,4,6,29,32,34
23-11-2022,5,11,22,24,33
22-11-2022,5,15,16,31,38
21-11-2022,2,12,18,31,41
20-11-2022,16,22,25,36,41
19-11-2022,3,8,9,12,32
18-11-2022,2,16,24,25,39
17-11-2022,20,25,28,33,38
16-11-2022,6,13,18,23,37
15-11-2022,5,19,22,25,28
14-11-2022,2,10,20,26,31
13-11-2022,2,5,25,27,30
12-11-2022,4,8,26,31,33
11-11-2022,12,21,26,33,37
10-11-2022,4,5,22,27,29
09-11-2022,2,7,21,31,41
08-11-2022,8,12,19,20,41
07-11-2022,4,33,34,39,40
06-11-2022,9,14,18,33,37
05-11-2022,1,13,19,23,29
04-11-2022,1,2,7,9,24
03-11-2022,7,20,28,31,33
02-11-2022,18,24,26,28,31
01-11-2022,3,8,13,20,40
31-10-2022,3,16,26,34,39
30-10-2022,6,7,23,28,31
29-10-2022,11,12,30,33,36
28-10-2022,3,10,15,28,39
27-10-2022,2,13,16,21,31
26-10-2022,15,21,22,33,41
25-10-2022,4,18,21,36,37
24-10-2022,7,25,28,30,42
23-10-2022,10,17,19,23,42
22-10-2022,22,23,25,28,41
21-10-2022,4,12,19,25,37
20-10-2022,2,10,25,39,40
19-10-2022,6,18,24,35,37
18-10-2022,7,18,29,30,34
17-10-2022,1,20,25,28,42
16-10-2022,3,7,8,13,38
15-10-2022,3,8,28,31,35
14-10-2022,5,21,25,30,37
13-10-2022,2,5,9,13,14
12-10-2022,14,33,34,36,40
11-10-2022,2,14,22,37,38
10-10-2022,2,17,27,38,42
09-10-2022,16,36,37,39,40
08-10-2022,11,18,28,33,36
07-10-2022,7,9,17,24,42
06-10-2022,19,25,27,38,40
05-10-2022,5,6,9,24,27
04-10-2022,5,6,8,20,42
03-10-2022,18,23,28,36,39
02-10-2022,7,20,30,31,36
01-10-2022,14,16,17,19,35
30-09-2022,16,21,25,31,35
29-09-2022,1,7,9,34,35
28-09-2022,1,2,6,14,28
27-09-2022,2,6,14,25,28
26-09-2022,11,12,19,33,38
25-09-2022,8,10,12,18,41
24-09-2022,9,18,24,25,26
23-09-2022,4,7,16,20,31
22-09-2022,1,11,19,26,36
21-09-2022,5,12,14,15,24
20-09-2022,9,17,30,33,40
19-09-2022,2,8,24,27,37
18-09-2022,1,9,13,21,40
17-09-2022,6,21,33,37,38
16-09-2022,16,23,24,29,31
15-09-2022,4,23,29,32,40
14-09-2022,8,28,30,33,36
13-09-2022,1,13,18,21,38
12-09-2022,2,7,16,18,41
11-09-2022,3,23,24,25,39
10-09-2022,15,19,22,26,41
09-09-2022,4,7,21,22,34
08-09-2022,4,6,7,34,41
07-09-2022,4,23,24,29,36
06-09-2022,1,2,13,14,19
05-09-2022,3,9,27,30,33
04-09-2022,25,27,33,34,40
03-09-2022,16,25,29,32,35
02-09-2022,6,7,8,10,28
01-09-2022,3,9,26,30,42
31-08-2022,9,21,24,30,37
30-08-2022,4,5,32,34,36
29-08-2022,4,5,6,7,21
28-08-2022,3,16,32,36,41
27-08-2022,5,13,17,23,36
26-08-2022,7,21,23,29,42
25-08-2022,9,18,22,33,41
24-08-2022,10,26,32,38,42
23-08-2022,2,8,10,11,36
22-08-2022,6,16,19,31,35
21-08-2022,17,19,20,22,32
20-08-2022,16,21,28,31,36
19-08-2022,1,10,14,21,35
18-08-2022,3,8,11,16,28
17-08-2022,14,23,34,36,37
16-08-2022,6,8,11,39,42
15-08-2022,12,13,24,35,38
14-08-2022,24,25,35,39,40
13-08-2022,9,13,15,18,36
12-08-2022,11,26,32,36,38
11-08-2022,15,17,19,30,36
10-08-2022,2,8,12,20,33
09-08-2022,4,12,16,19,39
08-08-2022,2,12,13,22,41
07-08-2022,2,3,14,21,42
06-08-2022,11,17,20,21,37
05-08-2022,1,10,13,14,36
04-08-2022,2,12,26,28,36
03-08-2022,18,28,30,32,36
02-08-2022,1,2,6,14,40
01-08-2022,10,26,29,40,42
31-07-2022,2,12,15,37,39
30-07-2022,17,18,31,41,42
29-07-2022,17,26,31,35,37
28-07-2022,17,18,27,31,40
27-07-2022,11,31,32,34,38
26-07-2022,9,19,36,37,41
25-07-2022,11,21,22,36,37
24-07-2022,25,33,38,39,42
23-07-2022,13,30,31,33,40
22-07-2022,9,10,21,35,42
21-07-2022,1,7,15,19,39
20-07-2022,1,5,7,18,33
19-07-2022,10,11,22,24,36
18-07-2022,11,13,24,29,37
17-07-2022,25,27,32,35,39
16-07-2022,11,18,28,35,36
15-07-2022,1,8,12,16,34
14-07-2022,3,8,22,34,40
13-07-2022,4,9,22,31,38
12-07-2022,2,3,14,34,35
11-07-2022,8,20,31,37,38
10-07-2022,1,18,21,32,41
09-07-2022,11,16,21,32,41
08-07-2022,7,15,23,33,41
07-07-2022,5,11,15,32,35
06-07-2022,14,15,17,30,37
05-07-2022,10,15,17,19,33
04-07-2022,5,10,22,29,35
03-07-2022,8,21,22,27,29
02-07-2022,7,13,21,23,26
01-07-2022,1,10,17,20,27
30-06-2022,17,33,36,38,41
29-06-2022,5,6,10,14,35
28-06-2022,13,21,29,32,36
27-06-2022,2,20,21,32,39
26-06-2022,2,7,13,19,28
25-06-2022,12,19,21,32,39
24-06-2022,8,14,33,41,42
23-06-2022,2,4,10,15,36
22-06-2022,11,17,24,31,37
21-06-2022,1,11,18,20,22
20-06-2022,12,21,25,26,32
19-06-2022,24,26,30,36,38
18-06-2022,11,12,25,35,41
17-06-2022,5,13,27,30,36
16-06-2022,3,7,14,20,30
15-06-2022,3,10,16,17,35
14-06-2022,15,19,20,25,29
13-06-2022,2,6,10,22,26
12-06-2022,18,33,38,41,42
11-06-2022,19,25,31,32,42
10-06-2022,6,9,15,22,23
09-06-2022,8,17,22,26,35
08-06-2022,4,7,12,20,33
07-06-2022,1,20,22,25,33
06-06-2022,2,12,20,22,33
05-06-2022,3,5,9,14,38
04-06-2022,7,12,14,24,39
03-06-2022,1,4,8,37,39
02-06-2022,1,13,30,35,37
01-06-2022,2,8,18,22,31
31-05-2022,1,9,10,36,40
30-05-2022,3,11,21,24,41
29-05-2022,1,16,17,24,38
28-05-2022,4,19,22,26,29
27-05-2022,10,23,24,28,35
26-05-2022,8,14,15,37,38
25-05-2022,25,28,36,40,41
24-05-2022,2,11,12,36,39
23-05-2022,7,9,34,39,40
22-05-2022,8,25,36,38,40
21-05-2022,11,31,32,33,41
20-05-2022,17,18,21,40,41
19-05-2022,2,3,12,23,27
18-05-2022,3,15,21,36,42
17-05-2022,12,24,25,28,30
16-05-2022,4,11,17,24,31
15-05-2022,2,11,13,26,40
14-05-2022,19,28,32,33,37
13-05-2022,2,4,8,14,36
12-05-2022,7,16,21,31,42
11-05-2022,6,10,14,25,29
10-05-2022,3,11,26,38,39
09-05-2022,12,17,23,28,33
08-05-2022,8,10,11,25,38
07-05-2022,2,3,8,21,22
06-05-2022,5,10,17,19,41
05-05-2022,17,27,29,31,35
04-05-2022,13,22,25,33,38
03-05-2022,12,21,33,34,37
02-05-2022,19,20,27,29,31
01-05-2022,2,7,20,26,31
30-04-2022,8,15,23,24,35
29-04-2022,2,15,22,29,41
28-04-2022,6,14,23,28,30
27-04-2022,2,12,40,41,42
26-04-2022,3,10,15,20,41
25-04-2022,4,18,21,40,41
24-04-2022,1,7,10,29,41
23-04-2022,7,15,26,28,40
22-04-2022,3,4,14,15,16
21-04-2022,6,9,15,25,36
20-04-2022,1,8,9,25,33
19-04-2022,1,21,28,36,38
18-04-2022,2,17,26,27,31
17-04-2022,7,13,15,23,35
16-04-2022,12,21,33,39,40
15-04-2022,8,22,24,25,26
14-04-2022,17,24,31,33,42
13-04-2022,1,4,13,25,28
12-04-2022,11,14,15,23,35
11-04-2022,7,10,12,18,33
10-04-2022,10,11,23,32,33
09-04-2022,9,15,18,40,42
08-04-2022,9,10,12,33,36
07-04-2022,14,16,22,32,33
06-04-2022,2,11,27,31,40
05-04-2022,16,17,22,38,40
04-04-2022,4,9,15,16,30
03-04-2022,6,11,15,26,33
02-04-2022,2,11,16,31,33
01-04-2022,9,16,27,35,36
31-03-2022,4,19,36,39,40
30-03-2022,6,12,13,21,37
29-03-2022,1,34,35,38,39
28-03-2022,9,18,21,25,39
27-03-2022,1,22,38,40,42
26-03-2022,2,3,27,28,34
25-03-2022,6,11,12,38,41
24-03-2022,14,17,27,32,36
23-03-2022,1,14,18,19,37
22-03-2022,13,27,33,34,37
21-03-2022,11,12,14,34,36
20-03-2022,11,13,18,31,34
19-03-2022,2,12,26,34,38
18-03-2022,14,35,36,41,42
17-03-2022,10,15,19,41,42
16-03-2022,7,23,28,30,42
15-03-2022,3,11,14,16,25
14-03-2022,6,14,25,37,39
13-03-2022,4,14,19,36,38
12-03-2022,7,26,32,35,42
11-03-2022,25,27,28,29,33
10-03-2022,3,4,14,20,36
09-03-2022,32,33,36,37,42
08-03-2022,25,28,30,34,37
07-03-2022,1,6,22,23,31
06-03-2022,2,13,17,24,26
05-03-2022,3,18,21,28,42
04-03-2022,6,13,26,35,37
03-03-2022,2,3,19,34,40
02-03-2022,4,6,18,25,40
01-03-2022,7,18,26,33,36
28-02-2022,7,10,25,28,42
27-02-2022,7,9,10,12,40
26-02-2022,7,13,20,25,33
25-02-2022,11,25,32,38,40
24-02-2022,3,7,24,40,42
23-02-2022,15,23,26,28,34
22-02-2022,4,5,7,21,24
21-02-2022,6,12,17,22,28
20-02-2022,4,8,13,21,24
19-02-2022,3,7,13,20,35
18-02-2022,10,13,18,35,40
17-02-2022,3,4,20,29,32
16-02-2022,4,12,15,16,20
15-02-2022,4,14,30,31,41
14-02-2022,15,24,26,29,32
13-02-2022,1,8,16,22,37
12-02-2022,2,16,28,41,42
11-02-2022,2,5,21,25,33
10-02-2022,9,15,24,30,38
09-02-2022,8,21,36,39,40
08-02-2022,7,14,21,22,28
07-02-2022,7,8,17,29,33
06-02-2022,7,22,25,32,38
05-02-2022,11,14,25,38,40
04-02-2022,2,7,13,17,39
03-02-2022,8,12,18,23,24
02-02-2022,9,16,27,35,41
01-02-2022,9,12,25,30,42
31-01-2022,1,3,12,14,19
30-01-2022,5,16,19,22,37
29-01-2022,4,7,21,28,30
28-01-2022,1,6,15,32,35
27-01-2022,1,7,10,13,17
26-01-2022,4,8,20,29,36
25-01-2022,4,8,18,21,36
24-01-2022,5,7,21,33,39
23-01-2022,6,7,9,18,29
22-01-2022,5,18,26,28,33
21-01-2022,6,8,9,28,33
20-01-2022,2,6,10,19,36
19-01-2022,2,24,32,34,40
18-01-2022,5,6,12,16,36
17-01-2022,9,13,14,29,34
16-01-2022,18,21,24,26,28
15-01-2022,3,14,17,19,24
14-01-2022,4,10,17,28,30
13-01-2022,3,23,35,39,42
12-01-2022,9,16,22,25,29
11-01-2022,4,8,22,28,34
10-01-2022,1,9,18,32,42
09-01-2022,4,12,29,34,37
08-01-2022,6,29,32,36,42
07-01-2022,11,19,36,37,40
06-01-2022,9,11,20,21,37
05-01-2022,5,7,8,11,30
04-01-2022,4,10,20,40,42
03-01-2022,2,7,23,37,42
02-01-2022,3,4,28,33,42
01-01-2022,7,11,18,24,38
31-12-2021,5,14,22,35,41
30-12-2021,9,24,25,27,40
29-12-2021,9,12,13,24,25
28-12-2021,4,16,30,35,40
27-12-2021,6,7,27,38,41
26-12-2021,2,6,10,13,23
25-12-2021,5,12,15,27,31
24-12-2021,1,2,21,28,30
23-12-2021,8,12,24,26,27
22-12-2021,4,25,30,31,39
21-12-2021,2,6,23,25,26
20-12-2021,3,11,19,22,36
19-12-2021,6,15,18,39,40
18-12-2021,4,5,21,22,27
17-12-2021,21,24,27,31,34
16-12-2021,10,28,34,37,40
15-12-2021,5,9,16,36,39
14-12-2021,1,3,7,21,27
13-12-2021,1,2,11,32,41
12-12-2021,14,19,21,37,39
11-12-2021,3,4,15,18,25
10-12-2021,8,14,15,16,27
09-12-2021,2,5,21,36,40
08-12-2021,11,15,19,29,38
07-12-2021,10,12,31,36,42
06-12-2021,4,21,24,27,30
05-12-2021,9,10,19,30,31
04-12-2021,7,19,21,30,32
03-12-2021,7,16,25,26,30
02-12-2021,5,19,22,23,39
01-12-2021,4,15,24,28,34
30-11-2021,3,18,27,36,37
29-11-2021,1,17,20,24,39
28-11-2021,20,27,29,36,42
27-11-2021,9,10,19,23,25
26-11-2021,4,14,22,23,29
25-11-2021,13,16,19,26,33
24-11-2021,11,16,23,28,36
23-11-2021,8,22,29,37,38
22-11-2021,3,6,12,25,42
21-11-2021,5,9,33,41,42
20-11-2021,1,12,29,31,32
19-11-2021,9,10,26,35,42
18-11-2021,1,2,4,17,20
17-11-2021,9,15,18,19,34
16-11-2021,5,8,19,30,36
15-11-2021,4,6,13,32,41
14-11-2021,1,12,13,31,36
13-11-2021,7,18,21,29,35
12-11-2021,1,18,21,29,41
11-11-2021,3,11,16,19,39
10-11-2021,15,27,29,34,37
09-11-2021,2,3,11,26,29
08-11-2021,10,21,23,26,32
07-11-2021,11,30,31,36,40
06-11-2021,14,15,24,36,40
05-11-2021,5,24,25,27,29
04-11-2021,5,13,23,29,41
03-11-2021,3,17,20,25,28
02-11-2021,1,3,18,22,32
01-11-2021,2,3,8,36,38
31-10-2021,6,8,20,34,36
30-10-2021,10,16,26,28,34
29-10-2021,5,13,14,22,31
28-10-2021,15,22,28,32,42
27-10-2021,9,16,20,22,34
26-10-2021,5,19,22,32,35
25-10-2021,16,23,27,41,42
24-10-2021,1,19,25,34,36
23-10-2021,3,18,30,41,42
22-10-2021,3,6,8,9,39
21-10-2021,12,17,18,20,36
20-10-2021,10,11,17,30,33
19-10-2021,9,12,18,23,29
18-10-2021,1,18,19,36,39
17-10-2021,8,11,19,40,41
16-10-2021,9,11,17,21,29
15-10-2021,4,15,32,39,40
14-10-2021,1,24,26,29,41
13-10-2021,12,13,21,26,40
12-10-2021,16,17,25,26,42
11-10-2021,4,5,16,22,33
10-10-2021,5,6,14,30,37
09-10-2021,2,11,16,25,39
08-10-2021,12,15,23,31,39
07-10-2021,11,26,30,36,37
06-10-2021,1,10,26,37,39
05-10-2021,4,12,18,19,30
04-10-2021,7,8,17,20,36
03-10-2021,9,10,12,14,41
02-10-2021,15,18,23,26,29
01-10-2021,3,15,28,33,34
30-09-2021,6,10,24,39,42
29-09-2021,8,9,24,26,39
28-09-2021,19,23,29,41,42
27-09-2021,12,16,38,40,41
26-09-2021,6,10,20,36,38
25-09-2021,13,16,27,35,37
24-09-2021,2,4,6,27,36
23-09-2021,7,9,11,19,28
22-09-2021,18,21,34,38,40
21-09-2021,4,7,22,32,35
20-09-2021,1,7,19,33,40
19-09-2021,1,12,18,25,35
18-09-2021,4,21,31,36,37
17-09-2021,9,21,25,27,34
16-09-2021,10,16,17,27,42
15-09-2021,5,13,22,32,33
14-09-2021,7,18,20,24,27
13-09-2021,15,17,22,27,37
12-09-2021,5,11,17,23,24
11-09-2021,9,24,29,30,37
10-09-2021,1,10,29,30,33
09-09-2021,18,19,22,29,34
08-09-2021,10,13,14,21,36
07-09-2021,12,16,17,20,40
06-09-2021,1,2,26,34,38
05-09-2021,4,6,14,21,27
04-09-2021,5,15,27,28,32
03-09-2021,4,16,18,19,31
02-09-2021,8,16,27,29,36
01-09-2021,12,15,16,21,30
31-08-2021,9,20,25,29,32
30-08-2021,6,12,32,38,39
29-08-2021,6,11,15,24,38
28-08-2021,10,19,26,30,32
27-08-2021,19,25,28,34,41
26-08-2021,2,3,9,13,37
25-08-2021,13,15,17,26,34
24-08-2021,3,14,15,24,31
23-08-2021,1,12,20,28,36
22-08-2021,9,14,35,38,42
21-08-2021,9,10,14,24,37
20-08-2021,8,12,15,16,23
19-08-2021,2,4,15,26,42
18-08-2021,6,7,16,24,35
17-08-2021,6,20,29,36,42
16-08-2021,18,22,27,34,35
15-08-2021,3,16,17,27,33
14-08-2021,8,13,14,26,31
13-08-2021,8,10,15,35,37
12-08-2021,1,6,7,24,39
11-08-2021,4,8,9,17,21
10-08-2021,5,19,32,38,40
09-08-2021,13,32,35,40,41
08-08-2021,1,5,23,38,41
07-08-2021,10,20,26,29,39
06-08-2021,7,13,25,31,41
05-08-2021,21,25,30,37,41
04-08-2021,9,14,22,24,32
03-08-2021,15,18,19,24,34
02-08-2021,11,13,23,34,42
01-08-2021,4,8,14,23,24
31-07-2021,2,3,33,34,42
30-07-2021,12,23,25,29,38
29-07-2021,2,9,23,24,25
28-07-2021,3,14,33,35,37
27-07-2021,2,26,30,39,40
26-07-2021,3,5,16,28,37
25-07-2021,20,25,27,31,42
24-07-2021,4,12,22,26,32
23-07-2021,24,29,33,37,39
22-07-2021,3,4,11,15,39
21-07-2021,4,16,24,32,39
20-07-2021,4,7,24,26,39
19-07-2021,2,6,27,37,40
18-07-2021,7,13,30,33,41
17-07-2021,2,3,12,15,32
16-07-2021,2,4,7,10,35
15-07-2021,4,5,17,34,36
14-07-2021,6,9,24,33,35
13-07-2021,12,27,30,33,38
12-07-2021,5,10,14,22,36
11-07-2021,8,9,16,32,39
10-07-2021,3,9,23,28,36
09-07-2021,4,9,26,34,41
08-07-2021,12,15,30,31,40
07-07-2021,3,11,25,33,42
06-07-2021,4,11,25,26,35
05-07-2021,12,33,34,36,42
04-07-2021,2,11,16,24,28
03-07-2021,6,11,13,15,22
02-07-2021,3,6,20,36,42
01-07-2021,3,9,11,17,24
30-06-2021,7,11,14,15,40
29-06-2021,1,17,20,30,37
28-06-2021,3,10,19,22,36
27-06-2021,3,15,16,17,39
26-06-2021,13,15,16,32,35
25-06-2021,19,22,31,36,40
24-06-2021,9,11,13,23,33
23-06-2021,2,3,14,20,42
22-06-2021,1,7,13,18,40
21-06-2021,2,23,29,35,40
20-06-2021,9,17,19,22,37
19-06-2021,5,13,18,25,34
18-06-2021,3,22,37,39,41
17-06-2021,4,9,36,39,41
16-06-2021,4,7,13,19,40
15-06-2021,1,6,10,22,34
14-06-2021,18,24,37,38,42
13-06-2021,7,22,24,36,37
12-06-2021,6,8,17,30,35
11-06-2021,14,25,34,35,38
10-06-2021,6,12,19,36,42
09-06-2021,6,7,8,25,30
08-06-2021,7,12,19,28,39
07-06-2021,2,10,31,35,36
06-06-2021,4,19,32,39,40
05-06-2021,6,10,25,29,39
04-06-2021,8,12,25,29,38
03-06-2021,8,10,11,33,37
02-06-2021,13,20,25,36,41
01-06-2021,3,12,14,18,39
31-05-2021,3,11,12,20,21
30-05-2021,1,6,25,36,39
29-05-2021,8,18,29,32,42
28-05-2021,11,20,24,31,37
27-05-2021,15,16,20,24,25
26-05-2021,2,6,18,20,40
25-05-2021,1,3,24,26,33
24-05-2021,4,6,20,21,27
23-05-2021,16,22,27,31,35
22-05-2021,1,4,5,37,38
21-05-2021,1,10,27,28,30
20-05-2021,5,10,14,21,30
19-05-2021,15,22,34,37,40
18-05-2021,7,18,22,23,38
17-05-2021,3,26,27,28,34
